id,text,review
3714,"I think Matts has had his minutes of fame, note to the owners, your food is quite good, your staff is excellent, so please save your money and move to a better location right now, you are next to a run down hotel with police tape everywhere to appease the local residents who are seriously begging for any customers waiting outside your place, just sad, I won't be going there again, I won't recommend it either, good luck This summer, the heat will melt all the customers in your waiting room.",Bad
872,"on the way to the airport I decided to stop at Teds for a bite to eat since I live very close to this place and have never tried it before I thought it would be a great time to check this place out, it was good, nothing special inside and although I wasn't blown away by my experience here I really enjoyed myself, we waited in line and I ordered a giant beef hot dog with some Chili Austin got a sausage with some of the toppings and fries, we both liked it and plan to go back. soon pretty good",Good
4100,"the roads are good, the service is not that good, this place is a tourist trap in every sense of the word, the restaurant and gift shop are overpriced for what you get and the ice cream is nothing special, the staff service needs to be much better and treat the customers the way you want, always understaffed, always waiting for food, been there half a dozen times, no improvement comes to the area for the beautiful views, not for the food or souvenirs, a excellent road for motorbikes in summer, outdoor cooking.",Bad
8995,"I have known my way around Sky Harbor Airport since I was years old and the terminal was a real terminal since then their attempts to improve transportation, parking and the airport terminals have made it extremely confusing to take the wrong lane and end up in the parking lot when all you wanted to do was drop someone off at the departures curb. The terminal remains the most accessible with parking located across the street and few airlines parked there as only a few airlines now use this terminal. pizza and doesn't seem clean, the terminal is a bit more complicated although they have parking attached to the terminal allowing you to enter any level via the elevator, more airlines use this terminal and it is much smaller than the terminal making it easier to navigate oh terminal you are so nice, new and clean, you have access to great restaurants like Flow Shanghai Café, Einstein's quizzes and more. at boarding you have tons of stores from border books to local tourist trash i would like to love you but you are just a mess it is very difficult to navigate your lanes to get to where you are going to pick up and drop off is dangerous because of people walking away from the curb into the lanes without looking and security is a pain not only is there always a long queue but the tea attendants regularly yell at people to be careful i am afraid to walk out of the terminal because that I have to leave very early because there are airports much easier to navigate and use, but we are stuck with Sky Harbor. I can only hope that the light rail access once completed will help make this a friendlier airport.",Bad
657,"I had lunch here today after hearing all the colossal raves about it, but once I walked in I realized that any semblance of having an authentic Chinese meal had gone out the window, no offense to my hungry white friends, I decided to try it anyway. I was seated by a friendly waiter and ordered the hot and sour soup which they were able to put in chicken instead of pork as a bonus and the waiter recommended the house chicken. spicy, look, damn, I'm brown people, that's my problem anyway, the hot and sour soup arrived and it was excellent. I was happy that nothing ruins a Chinese meal more than starting it with a bowl of hideous soup, then came the homemade chicken with added green beans for steamed rice costing another dollar. service, the waiter noticed that I was not devouring my dish and offered to replace it with any other dish of my choice at no extra cost. Who does this nowadays in a Chinese restaurant, no less extra stars are from the bay area like me, so he gave me information about good Asian food in Phoenix for dims, he recommended the Golden Buddha first, the Great Wall, second and third, then for Vietnamese he recommended a place on the avenue between the Indian school. Phoenix is ​​a bit of a letdown compared to California, but almost all Asian restaurants, he admitted, including China Chili, cater to their core customers who, by their demographics, are virtually non-Asian. He told me that China Chili is where people go for Chinese food, including Chris Bianca of Pizzeria Bianca, the mayor, the Channel News people, the owner of the Diamondbacks, and so take that for what you will when I asked if this Chinese chili was affiliated with the one in Fremont no but people say this place is good and classy and has an electric piano bonus points for knowing that either way he recommended I come back and get the mongolian beef next time which i will definitely do more the hot and sour soup i didn't mind the large open seating area many chinese restaurants are like that, loud and raucous, the chinese chili is a case where the service overcame the food again, how often does that happen to come back and give it another chance and there you go",Good
5439,"ok, it's a nice place but I'm not sure I'd go out of my way to go there. I was in town on business and thought I would give them a try. The food was good but not great. The shredded beef taco was typical and the shredded pork burrito tasted more like beef. that would be where the service was then, so maybe it was because I was in a group, whatever the reason it wasn't happening, hey at least the salsa was tasty",Good
2692,"the only thing this crispy cream place has to offer is a convenient location and passing by you won't see any donuts made here which is kind of part of what the crispy cream experience should be like seeing them being made ordering them as they come out so they are still warm for your first bite now so let's take this review as if it were a regular donut shop and it doesn't hold up either, the momandpop store that i have closer to me actually tastes better but that's probably because they make them then and there I guess they transport the ones they sell here from a different location or a centralized location where they make them which completely explains why the frostings and taste like they've been sitting for a while they're still ok donuts the other thing this place is lacking is in the coffee. I ordered a coffee and the person had one of those oversized half and half containers from clover farms and asked if I wanted some in my coffee and to tell him when to stop, I'm sorry but who puts anything on their coffee without even tasting it first, not me, it's definitely the worst experience having coffee here, bottom line the donuts here are not going to be what you expect from a crispy cream and forget ordering a coffee which will be to your taste",Bad
2204,"In a kitschy word, this pink palace serves a number of ice cream dishes, including favorites such as banana splits and brownie sundaes, as well as build your own creations. The ice cream itself was disappointing. I was expecting a homemade recipe, but was a little surprised when I saw bins of dryers being brought into the front dining room given that it's located in Old Town Scottsdale, a venerable dumping ground for knick-knacks galore. The sugar bowl was exactly what I expected in terms of decor. and kitsch kitsch and more kitsch atmosphere where is the elateride parmalat when you need it",Bad
9111,"It saddens me to say that this is not the worst Mexican restaurant we have eaten at that is on Oahu near Waikiki Beach, but it is close, hell we had to drive by arrobas to get to this place. I had a chimichanga which was a little anemic, although the filling was ok, the beans, the tasteless rice looked the part, but as spicy as your average meal of boiled meat and root vegetables, the fajita salad also lacked pizzazz with all the appearance of being tasty. bland chicken generally unless there is an attempt to chew rather than cook I will order a basic dish but I don't shoot the chef and trust me these guys are safe from sand agents very safe first timer and if the beatrice sucks no comeback overall it feels like space aliens are running the place and they learned to cook from pictures this is definitely a mistake we we will not repeat",Very bad
1718,"I've been living in Mark Taylor properties for about five or six years now and I have to say they've gone down considerably over the last few years when I started living in my first property in MT. The front desk staff took the time to get to know you by name, kept up to date with any ongoing issues, and were proactive about things. years extra charges are even added for services you may or may not use anyway you have to pay the only reason I didn't give them a star is because of the maintenance staff they are what the front desk staff were friendly polite and very responsive to your issues they actually have a pretty similar opinion to the front desk people that's pretty telling",Bad
