id,review
298,Excellent
4153,Good
5359,Very good
7734,Good
3283,Good
9321,Excellent
4945,Bad
6246,Good
8882,Very good
5839,Bad
9167,Very bad
6318,Bad
6582,Very good
9288,Bad
6161,Bad
8723,Excellent
7697,Very good
2257,Very good
8672,Very good
8306,Very good
9688,Excellent
4755,Excellent
109,Very good
2237,Good
5936,Very good
6644,Excellent
3879,Excellent
2229,Good
2138,Good
8120,Very bad
6459,Good
9504,Excellent
962,Very bad
7332,Very good
4733,Excellent
1182,Very bad
3973,Very good
2274,Excellent
2975,Bad
4998,Very good
120,Excellent
364,Good
5292,Excellent
1088,Very good
1015,Very good
6247,Excellent
8660,Excellent
3206,Very good
4620,Very good
5078,Good
453,Excellent
8192,Very good
967,Excellent
5195,Very bad
5747,Good
1301,Excellent
4662,Excellent
8821,Excellent
4055,Very good
3895,Very good
8369,Excellent
3449,Bad
5287,Very good
9305,Very good
3403,Good
7301,Excellent
3617,Excellent
9136,Excellent
3884,Excellent
3974,Good
7309,Good
2726,Bad
7361,Excellent
6081,Very good
6590,Good
6702,Excellent
720,Very good
1176,Excellent
6181,Excellent
1024,Bad
1151,Excellent
1451,Very good
2653,Excellent
4862,Very bad
8498,Very good
9862,Good
1739,Very good
7345,Very bad
2242,Bad
1895,Good
5302,Very bad
4581,Very good
2151,Very good
8315,Very good
9364,Very good
8788,Excellent
8906,Excellent
7377,Very bad
2039,Very good
1989,Good
7314,Excellent
321,Bad
1,Good
5950,Very bad
4440,Excellent
4417,Good
7282,Very good
694,Very good
2531,Excellent
6115,Excellent
1369,Excellent
1078,Very good
5635,Excellent
6026,Bad
6058,Very good
4528,Very good
8027,Very good
7231,Excellent
5975,Bad
7518,Good
433,Good
4718,Good
4470,Very good
9524,Good
8244,Very bad
9265,Excellent
9811,Excellent
7256,Excellent
8545,Bad
3265,Very good
8440,Bad
871,Very good
445,Very good
769,Excellent
4895,Very good
9502,Bad
7455,Excellent
9358,Excellent
8015,Very good
1990,Excellent
4917,Excellent
7757,Excellent
5132,Very good
2276,Excellent
457,Bad
7729,Very good
8664,Very good
499,Excellent
4931,Very good
7274,Very good
848,Excellent
1232,Very good
6916,Very bad
4637,Excellent
4221,Very good
5614,Very good
4868,Excellent
9150,Excellent
4201,Excellent
7420,Very good
9762,Good
1047,Very bad
247,Good
3102,Bad
4090,Excellent
8751,Excellent
7837,Very good
2798,Very good
3927,Very good
8348,Good
610,Good
8460,Good
4380,Excellent
5878,Bad
8404,Excellent
50,Bad
333,Very good
2546,Bad
4602,Bad
1041,Good
2240,Excellent
4094,Very bad
8078,Good
1243,Bad
1783,Excellent
8667,Very good
9030,Bad
7073,Excellent
5122,Very good
8979,Good
696,Excellent
2516,Excellent
3422,Excellent
3497,Very bad
1390,Very good
9063,Excellent
5755,Very good
4392,Very good
6386,Excellent
9831,Excellent
5815,Very bad
4033,Bad
2948,Very good
3417,Good
5814,Good
737,Excellent
8105,Very good
2339,Bad
2424,Excellent
7350,Very bad
3201,Excellent
5093,Excellent
9249,Excellent
1119,Very good
2589,Excellent
9332,Good
7810,Excellent
2105,Very good
5898,Very good
4454,Excellent
4950,Excellent
3,Excellent
2155,Excellent
9180,Very good
2850,Very good
8231,Bad
359,Very good
9420,Very good
71,Bad
18,Good
8281,Excellent
6542,Very good
8838,Good
6262,Excellent
9556,Excellent
8561,Excellent
1901,Bad
1346,Bad
9046,Very good
4971,Good
6164,Very good
3902,Excellent
1448,Very good
1753,Excellent
1372,Good
4347,Excellent
8234,Excellent
7885,Excellent
5432,Bad
485,Good
3141,Bad
4748,Excellent
6122,Bad
7010,Bad
6411,Very good
1224,Very good
6967,Good
7514,Excellent
53,Good
8763,Bad
1614,Bad
1183,Excellent
1049,Excellent
1966,Very bad
1859,Excellent
6287,Good
273,Good
5862,Excellent
8402,Very bad
7752,Good
3813,Very good
6678,Excellent
6835,Good
3967,Good
3689,Very good
435,Good
6184,Excellent
4885,Very good
2346,Excellent
3076,Good
8663,Good
7353,Excellent
7323,Very good
2231,Very bad
6565,Excellent
8343,Very good
2814,Very bad
8985,Excellent
7054,Good
2213,Good
2711,Excellent
428,Bad
8984,Good
8441,Excellent
5054,Excellent
1386,Excellent
5786,Very good
378,Excellent
5712,Excellent
6279,Very good
165,Very bad
470,Very good
9512,Excellent
8544,Excellent
5281,Bad
9597,Excellent
2926,Good
9582,Very good
9336,Excellent
7221,Very good
8901,Very good
2852,Very good
9955,Bad
1098,Very good
22,Excellent
7021,Very good
2239,Excellent
4073,Excellent
2810,Very good
3113,Good
8537,Very good
5297,Very good
2038,Excellent
281,Bad
9542,Excellent
8426,Very good
5124,Excellent
2716,Good
157,Excellent
6339,Very good
5994,Very good
6407,Very good
2555,Excellent
5337,Very good
5687,Bad
1492,Very bad
4903,Excellent
8697,Excellent
953,Good
1790,Bad
379,Excellent
3324,Excellent
1866,Very good
5154,Very bad
8719,Good
8055,Excellent
2291,Excellent
2090,Excellent
595,Good
2063,Excellent
9739,Very good
6709,Bad
9828,Very good
7648,Excellent
993,Excellent
7022,Excellent
191,Very good
956,Very good
3782,Good
2771,Good
2103,Very good
4395,Excellent
1190,Very good
123,Very good
4985,Very good
4559,Excellent
8669,Good
4273,Bad
1297,Bad
855,Very good
9879,Good
1574,Excellent
5653,Very good
5713,Good
9146,Excellent
5303,Very good
286,Excellent
627,Excellent
8462,Excellent
5715,Very good
260,Excellent
3370,Good
463,Good
525,Good
7770,Good
8290,Excellent
1361,Excellent
7212,Very good
1583,Excellent
4693,Very good
3758,Very good
5893,Very bad
9329,Excellent
422,Very good
5891,Excellent
2905,Excellent
6765,Good
3828,Excellent
589,Excellent
2999,Very good
4134,Very good
7874,Bad
1698,Excellent
9674,Good
5982,Good
3399,Very good
1056,Very good
344,Very good
7776,Excellent
6703,Very good
2440,Very good
2446,Good
6179,Good
1596,Excellent
3325,Good
7483,Excellent
2476,Good
6370,Excellent
1864,Very bad
3607,Excellent
5041,Excellent
4502,Very good
8212,Very good
2822,Very bad
8865,Good
7261,Good
5946,Very good
2646,Very good
7534,Good
4298,Bad
2963,Very good
4187,Very good
1906,Very good
7513,Excellent
146,Excellent
8345,Excellent
9215,Very good
4426,Good
1535,Excellent
5648,Very good
5999,Very good
1618,Excellent
9876,Good
6158,Very good
7412,Good
6741,Excellent
124,Excellent
5318,Very good
5184,Excellent
6189,Very good
9759,Very good
8860,Very good
1385,Bad
7780,Very good
8021,Excellent
2571,Excellent
7804,Excellent
2675,Good
9608,Very good
6536,Excellent
9311,Excellent
483,Good
4289,Good
6031,Excellent
7167,Very bad
8164,Very good
5608,Excellent
1932,Bad
8135,Excellent
3168,Good
9173,Very good
708,Very good
5929,Excellent
2828,Very good
242,Excellent
7286,Excellent
9485,Very good
8415,Excellent
3415,Very good
5327,Excellent
7650,Very good
3044,Excellent
5228,Good
3214,Good
2996,Excellent
886,Very good
9520,Very good
6096,Excellent
9506,Excellent
5724,Excellent
4369,Bad
8610,Very good
5247,Bad
7655,Bad
498,Good
3587,Excellent
6127,Excellent
371,Very good
758,Good
1785,Excellent
7853,Excellent
3386,Excellent
3523,Very bad
3825,Very good
5340,Excellent
8033,Good
2398,Very good
2795,Very good
7783,Excellent
4166,Excellent
3634,Bad
383,Excellent
6760,Bad
5591,Excellent
1738,Excellent
4081,Very good
2180,Very good
7807,Excellent
121,Excellent
1599,Good
3045,Excellent
8092,Very good
2678,Very bad
6083,Very good
9777,Excellent
6006,Very good
2336,Excellent
6954,Very good
7117,Excellent
7958,Very good
7791,Very good
6133,Very bad
9930,Good
1210,Excellent
7716,Very good
3696,Excellent
2462,Excellent
4152,Very good
6332,Very good
826,Very good
2451,Bad
3737,Good
3103,Very good
7756,Excellent
5836,Very good
3254,Good
2190,Very good
9607,Very bad
7364,Very good
7628,Very good
1309,Excellent
5701,Very good
6983,Very good
7276,Good
2674,Very bad
8318,Good
6159,Very bad
1330,Excellent
9780,Excellent
1305,Excellent
7172,Bad
8409,Good
8615,Bad
7236,Good
4310,Very good
5877,Excellent
8892,Very good
4374,Bad
8981,Very good
7745,Excellent
6490,Bad
4093,Very good
4198,Excellent
3232,Excellent
5623,Excellent
2657,Very good
6680,Good
1674,Good
1320,Very good
132,Excellent
3827,Excellent
6108,Very good
5707,Bad
2956,Very good
3303,Excellent
8714,Very good
4522,Very good
6365,Good
4498,Very good
5637,Very bad
4918,Very bad
9806,Very good
2951,Good
9168,Bad
6821,Excellent
4025,Very good
7308,Bad
7489,Good
5803,Excellent
3816,Bad
2062,Excellent
4330,Very good
5288,Excellent
4898,Good
2082,Very good
4984,Excellent
9042,Excellent
7066,Bad
5926,Very good
5017,Excellent
5921,Very good
6426,Very good
7421,Excellent
9796,Very good
5058,Excellent
5899,Good
8483,Good
655,Very good
5818,Bad
6032,Very good
612,Excellent
818,Excellent
336,Excellent
5294,Good
385,Good
2718,Excellent
6419,Very good
8507,Excellent
9478,Excellent
6719,Excellent
7108,Bad
6088,Excellent
2052,Excellent
9625,Excellent
4552,Excellent
7042,Good
2005,Bad
1514,Excellent
3223,Excellent
5935,Excellent
937,Very good
1808,Bad
1465,Very good
1542,Excellent
1704,Excellent
2187,Good
5113,Excellent
5218,Bad
4842,Very bad
6229,Very bad
8575,Excellent
1777,Very good
7184,Very bad
1491,Very good
9621,Excellent
6803,Good
3886,Good
4411,Bad
7786,Bad
3761,Very good
9543,Excellent
9564,Very bad
9638,Very bad
1995,Excellent
5367,Excellent
7162,Very good
2803,Excellent
4593,Excellent
6076,Excellent
8286,Excellent
2668,Very good
5174,Very good
5683,Excellent
954,Bad
8056,Very good
1840,Excellent
9123,Very good
4,Excellent
9351,Very bad
3874,Very good
4923,Good
9233,Very good
9038,Excellent
3181,Excellent
5240,Excellent
3869,Excellent
8198,Very good
442,Excellent
1025,Very bad
8205,Bad
1213,Good
6567,Very good
2642,Very bad
6794,Excellent
8572,Good
3515,Good
7617,Excellent
2347,Very good
4148,Excellent
4894,Good
1615,Excellent
5599,Good
2834,Excellent
3658,Bad
4400,Bad
6745,Very good
4285,Very good
3167,Excellent
3591,Excellent
6783,Excellent
3997,Excellent
6940,Excellent
1526,Excellent
3759,Excellent
5848,Excellent
6977,Bad
4883,Very good
8854,Bad
2028,Good
8121,Very good
5992,Excellent
1929,Very good
231,Good
2109,Very good
7400,Very good
7596,Excellent
9426,Very good
8051,Bad
3021,Very good
8009,Excellent
4214,Very bad
4664,Very good
1459,Excellent
9255,Good
8333,Very good
3912,Very good
3993,Very good
9197,Very good
6903,Excellent
8252,Very good
2698,Good
5552,Excellent
3425,Excellent
7169,Good
4544,Excellent
7549,Very good
9640,Good
2250,Very good
3057,Very good
2121,Excellent
8093,Bad
6485,Excellent
5988,Excellent
4011,Excellent
6507,Excellent
3678,Excellent
8774,Very good
3990,Very good
2529,Good
8826,Very good
9074,Very good
7843,Good
6486,Excellent
4433,Good
8782,Good
4538,Excellent
2127,Very bad
7423,Excellent
7831,Very bad
6037,Very bad
1971,Very good
475,Very good
8133,Good
2478,Bad
7068,Excellent
6788,Good
7437,Bad
8172,Very good
8822,Very bad
6976,Very good
5056,Excellent
9928,Good
3784,Very good
2095,Very good
6300,Good
2614,Excellent
1865,Good
1660,Excellent
4438,Excellent
8511,Very bad
4322,Very good
1167,Excellent
1070,Excellent
9297,Excellent
2025,Very good
2203,Good
3657,Excellent
8959,Very good
4444,Very good
8638,Excellent
2691,Very good
3962,Excellent
226,Excellent
1231,Good
1600,Very good
6107,Good
8643,Bad
5823,Very good
1802,Excellent
8422,Excellent
2739,Excellent
9103,Excellent
3670,Very good
2096,Very good
2884,Excellent
2898,Good
7452,Good
3545,Very good
1590,Very good
547,Excellent
3418,Excellent
7401,Very good
7865,Excellent
6961,Excellent
6134,Good
1994,Good
8512,Excellent
8599,Excellent
8156,Very good
6347,Excellent
2080,Excellent
5887,Excellent
9466,Very good
3109,Very good
965,Excellent
3129,Very good
6928,Very bad
6155,Excellent
3474,Very bad
6412,Very good
4682,Excellent
135,Excellent
2171,Good
6964,Excellent
1970,Good
9991,Very good
3926,Excellent
8116,Very good
1623,Very good
9290,Excellent
9492,Good
1292,Excellent
6868,Very bad
793,Very good
2616,Very bad
9669,Very good
2295,Good
3621,Very good
4904,Excellent
1621,Very bad
3275,Good
5735,Excellent
5577,Excellent
1954,Very good
9134,Very good
6182,Bad
947,Excellent
5343,Very good
9107,Good
5537,Excellent
5091,Good
9127,Good
4349,Good
1286,Very good
918,Good
2380,Excellent
2703,Very good
8175,Very good
6935,Bad
7589,Very good
1547,Excellent
8775,Bad
8137,Excellent
754,Excellent
3382,Good
7909,Bad
9938,Excellent
5738,Excellent
973,Excellent
1643,Good
3566,Very good
1731,Very good
2896,Good
3763,Very good
2622,Bad
8194,Excellent
3870,Very bad
9891,Bad
6857,Excellent
6445,Very good
7418,Very good
9128,Very bad
8640,Very good
3010,Excellent
6151,Excellent
8278,Excellent
142,Good
3787,Excellent
3084,Very good
8564,Good
9771,Bad
5923,Excellent
5932,Excellent
187,Very good
2355,Excellent
2404,Excellent
8243,Very good
1164,Excellent
9312,Bad
4244,Excellent
3396,Excellent
824,Good
8158,Good
8,Excellent
7120,Good
3179,Very good
6898,Excellent
545,Very good
774,Excellent
6900,Very good
9918,Excellent
7651,Bad
8276,Very good
511,Excellent
3423,Excellent
9540,Excellent
1832,Excellent
7820,Good
4497,Very good
9534,Excellent
7723,Very good
2329,Excellent
3776,Excellent
8087,Very good
3253,Very good
3505,Very bad
7494,Very good
7610,Excellent
1963,Very good
9325,Very good
7794,Good
783,Good
2753,Excellent
9443,Very good
808,Very good
6015,Good
3233,Very good
4422,Excellent
9940,Very good
1430,Very good
8913,Very good
1203,Bad
7255,Very good
7703,Excellent
2418,Very good
2168,Excellent
557,Excellent
2647,Very good
7546,Excellent
7090,Excellent
3943,Very good
2294,Excellent
7916,Good
8254,Very good
4009,Excellent
5476,Excellent
2249,Excellent
7750,Good
4973,Excellent
8108,Excellent
8408,Very good
6652,Excellent
9667,Good
1743,Good
9320,Very good
6094,Good
7725,Excellent
4204,Good
9418,Very good
963,Excellent
2745,Good
4050,Excellent
2993,Excellent
431,Excellent
2866,Excellent
1180,Good
1756,Good
6039,Excellent
7303,Excellent
3456,Very bad
4677,Excellent
443,Very good
3205,Excellent
3100,Excellent
149,Excellent
9219,Very good
2470,Excellent
5153,Bad
2340,Very good
3756,Very bad
208,Bad
5252,Very good
1678,Excellent
9924,Very bad
6580,Excellent
3674,Very good
9282,Excellent
6842,Excellent
6820,Excellent
2560,Good
2618,Excellent
8620,Very bad
9065,Excellent
2081,Bad
6049,Good
9133,Good
8859,Good
3149,Very bad
6406,Good
3291,Excellent
9888,Very good
8165,Very good
3185,Bad
8455,Bad
2484,Excellent
5907,Excellent
7384,Good
8153,Very good
1728,Excellent
3276,Excellent
5433,Very good
2433,Very good
2952,Bad
4539,Very good
4838,Bad
205,Excellent
6526,Excellent
6294,Very good
3139,Excellent
6988,Very good
6659,Very good
2705,Bad
5329,Good
3014,Very good
8505,Very good
3945,Good
1392,Very good
9668,Excellent
9749,Very good
6713,Very bad
1609,Good
4731,Very good
1918,Very bad
2817,Very good
6460,Excellent
5704,Excellent
7798,Good
8628,Very good
8429,Very bad
6559,Bad
3136,Excellent
7225,Excellent
182,Very good
8707,Excellent
492,Very good
575,Excellent
4119,Bad
9892,Excellent
5316,Excellent
2178,Excellent
462,Excellent
2501,Excellent
2126,Good
9675,Good
8271,Bad
9904,Very good
340,Very bad
1800,Good
6811,Excellent
3539,Bad
1710,Very good
3575,Good
4607,Good
8927,Excellent
1693,Excellent
8407,Very good
9569,Very good
8704,Good
4191,Very good
5001,Very good
3616,Good
5732,Bad
2861,Good
151,Very good
5220,Good
5350,Good
3688,Very good
6989,Very good
8232,Bad
3257,Excellent
2713,Good
6034,Very good
2216,Very good
2459,Very good
2650,Very good
1549,Very good
9414,Excellent
7445,Good
1383,Good
3506,Bad
2029,Good
2855,Excellent
2918,Good
732,Very bad
5870,Very good
1951,Very good
4627,Good
5007,Excellent
1502,Excellent
6205,Excellent
2863,Excellent
3977,Excellent
7773,Excellent
5425,Excellent
9453,Good
4278,Excellent
2629,Bad
5641,Very good
7846,Excellent
3210,Very bad
7182,Very good
7960,Excellent
6742,Very good
4376,Very bad
3747,Very good
4737,Excellent
4069,Very good
1124,Excellent
9817,Bad
5443,Very bad
7813,Very good
125,Good
5866,Excellent
8862,Good
52,Very good
5763,Very good
8519,Very bad
8752,Good
69,Very bad
455,Good
5739,Good
844,Bad
5313,Very bad
6025,Excellent
1277,Very good
9528,Very good
5604,Excellent
535,Very good
2933,Excellent
8792,Very bad
1322,Good
2530,Excellent
1133,Good
7163,Good
9163,Excellent
8338,Very good
1068,Good
7298,Excellent
2941,Very good
4597,Very good
3535,Good
5364,Excellent
8793,Good
1556,Excellent
9855,Excellent
4064,Very good
5206,Excellent
2376,Excellent
9487,Bad
8350,Excellent
3975,Very bad
6708,Excellent
3248,Excellent
2150,Good
7582,Bad
7784,Good
3806,Very good
5594,Excellent
1940,Bad
3994,Very good
9923,Excellent
4492,Good
8920,Good
9952,Good
531,Bad
927,Excellent
8616,Excellent
9076,Good
2807,Good
6650,Very good
566,Bad
4255,Very good
5666,Very good
2431,Very good
235,Good
6447,Excellent
719,Very good
3466,Good
6325,Excellent
7834,Excellent
3666,Good
2842,Very good
8684,Excellent
5188,Good
5858,Very good
6073,Very good
7315,Excellent
3034,Good
6472,Bad
8593,Good
4343,Excellent
6818,Very good
6492,Good
3882,Good
628,Excellent
2223,Excellent
6922,Very good
6241,Good
9530,Excellent
7994,Very bad
7250,Bad
6250,Excellent
9547,Very good
5902,Very good
2768,Very good
1127,Good
9139,Very bad
6796,Very good
903,Excellent
3343,Very good
989,Excellent
1172,Very good
6355,Excellent
4175,Very good
3208,Very good
4005,Very good
238,Excellent
3820,Very good
4354,Excellent
7379,Good
1853,Very good
4407,Good
1591,Excellent
6371,Good
9783,Excellent
9415,Good
5193,Very good
4983,Excellent
5493,Excellent
2353,Good
9432,Excellent
400,Very good
6353,Very good
277,Excellent
6380,Good
1132,Excellent
6002,Excellent
3796,Excellent
9237,Excellent
9753,Excellent
9212,Very good
7510,Excellent
6041,Very bad
4162,Bad
8474,Excellent
8168,Very good
6429,Excellent
1261,Excellent
2576,Good
2191,Very bad
1720,Excellent
3134,Excellent
4818,Excellent
3241,Excellent
8363,Very good
6608,Very good
2511,Bad
1942,Very good
5667,Bad
367,Excellent
7986,Excellent
2575,Very bad
1242,Very good
3508,Good
4988,Excellent
4960,Very good
1543,Excellent
1074,Very good
9906,Excellent
195,Very good
3006,Good
3865,Excellent
2110,Excellent
8275,Excellent
6350,Very good
2181,Excellent
5572,Good
3124,Very good
3407,Bad
4365,Very good
6202,Very good
2830,Excellent
92,Very good
1774,Very good
3864,Bad
3898,Excellent
9095,Bad
8645,Excellent
2370,Very bad
